location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
Azerbaijan,AZE,2023,HIV/TB,-0.2171073535681635,same-year SDI-quintile peers,HIV/TB,Excess-only,False
Azerbaijan,AZE,2023,Nutrition,0.0924284199809926,same-year SDI-quintile peers,Nutrition,Excess-only,False
Azerbaijan,AZE,2023,Health resources,0.9829715107184528,same-year SDI-quintile peers,Health resources,Excess-only,True
Georgia,GEO,2023,Household energy/HAP,0.5536863251097597,same-year SDI-quintile peers,Household energy/HAP,Excess-only,True
Georgia,GEO,2023,Ambient PM2.5,0.1598005873870709,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Georgia,GEO,2023,Climate/transmission,-0.5222959727278139,same-year SDI-quintile peers,Climate/transmission,Excess-only,False
Georgia,GEO,2023,WASH,1.051894554038043,same-year SDI-quintile peers,WASH,Excess-only,True
Georgia,GEO,2023,Immunisation/UHC,0.5155037228141681,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,True
Georgia,GEO,2023,HIV/TB,0.7872248141527199,same-year SDI-quintile peers,HIV/TB,Excess-only,True
Georgia,GEO,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Excess-only,False
Georgia,GEO,2023,Health resources,-0.1078589000598263,same-year SDI-quintile peers,Health resources,Excess-only,False
Kazakhstan,KAZ,2023,Household energy/HAP,-0.3923546729020884,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Kazakhstan,KAZ,2023,Ambient PM2.5,0.2227099531955921,same-year SDI-quintile peers,Ambient PM2.5,Neither,False
Kazakhstan,KAZ,2023,Climate/transmission,-1.167104648540523,same-year SDI-quintile peers,Climate/transmission,Neither,False
Kazakhstan,KAZ,2023,WASH,0.1438699327759445,same-year SDI-quintile peers,WASH,Neither,False
Kazakhstan,KAZ,2023,Immunisation/UHC,-0.6231275904864559,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Kazakhstan,KAZ,2023,HIV/TB,0.5697131501846656,same-year SDI-quintile peers,HIV/TB,Neither,True
Kazakhstan,KAZ,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Neither,False
Kazakhstan,KAZ,2023,Health resources,0.4032657888131932,same-year SDI-quintile peers,Health resources,Neither,False
Kyrgyzstan,KGZ,2023,Household energy/HAP,-0.1765892665836934,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Kyrgyzstan,KGZ,2023,Ambient PM2.5,-0.0848842893952915,same-year SDI-quintile peers,Ambient PM2.5,Neither,False
Kyrgyzstan,KGZ,2023,Climate/transmission,-2.0779150610641595,same-year SDI-quintile peers,Climate/transmission,Neither,False
Kyrgyzstan,KGZ,2023,WASH,-0.8503473807529229,same-year SDI-quintile peers,WASH,Neither,False
Kyrgyzstan,KGZ,2023,Immunisation/UHC,-0.5045549768464199,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Kyrgyzstan,KGZ,2023,HIV/TB,-0.3823424628722212,same-year SDI-quintile peers,HIV/TB,Neither,False
Kyrgyzstan,KGZ,2023,Nutrition,-0.2980911816226098,same-year SDI-quintile peers,Nutrition,Neither,False
Kyrgyzstan,KGZ,2023,Health resources,-0.288537013264126,same-year SDI-quintile peers,Health resources,Neither,False
Mongolia,MNG,2023,Household energy/HAP,0.4687099502262546,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Mongolia,MNG,2023,Ambient PM2.5,1.3711661035379357,same-year SDI-quintile peers,Ambient PM2.5,Neither,True
Mongolia,MNG,2023,Climate/transmission,-2.302518247720844,same-year SDI-quintile peers,Climate/transmission,Neither,False
