Location,ISO3,Profile 2000,Profile 2023,Transition pathway,Delta adverse z: Household energy/HAP,Delta adverse z: Ambient PM2.5,Delta adverse z: Climate/transmission,Delta adverse z: WASH,Delta adverse z: Immunisation/UHC,Delta adverse z: HIV/TB,Delta adverse z: Nutrition,Delta adverse z: Health resources,Dominant contextual lag domain,Dominant delta adverse z,Number of positive lag domains
Nigeria,NGA,Double-high,Double-high,Double-high -> Double-high,-1.3781904845890707,-0.17240890657674823,0.07836377338968481,-0.9801981210399564,-0.078535486540952,0.20713094563879297,,-0.624628758000366,HIV/TB,0.20713094563879297,2
Niue,NIU,Excess-only,Double-high,Excess-only -> Double-high,0.24628100881884885,0.4445647794023515,0.1610771758684173,,1.1072314649068127,,,,Immunisation/UHC,1.1072314649068127,4
Pakistan,PAK,Double-high,Double-high,Double-high -> Double-high,-1.3514456738356564,0.07038210024236813,0.18371622091694473,-0.7002150453945113,-0.9004706862133085,0.3521705602463394,,0.4982853580861572,Health resources,0.4982853580861572,4
Palestine,PSE,Neither,Double-high,Neither -> Double-high,3.1448702681076366,0.318053545770018,0.1311763339832267,0.8134635668285766,0.6539337714647534,0.07648393498127415,,0.9073717720496471,Household energy/HAP,3.1448702681076366,7
Philippines,PHL,Double-high,Double-high,Double-high -> Double-high,-0.14367304785552315,-1.0192149182894579,-0.34048338543036827,-0.4831383066329221,-1.34038795291525,0.2020756814859921,,0.2406462963990107,Health resources,0.2406462963990107,2
Seychelles,SYC,Excess-only,Double-high,Excess-only -> Double-high,0.11944939145872513,0.33632292850907564,0.2348675519643184,-0.049004118188268296,-0.6994860021850101,0.6012218382646795,,0.7364247377455087,Health resources,0.7364247377455087,5
South Africa,ZAF,Double-high,Double-high,Double-high -> Double-high,0.2270515021135946,1.1606989462498978,-0.4805805716969869,1.0763808796827816,-0.2568320546684844,0.80167619822722,,0.13657341060933958,Ambient PM2.5,1.1606989462498978,5
Thailand,THA,Excess-only,Double-high,Excess-only -> Double-high,-0.09153635930331752,-0.2966825735987505,0.05401232030064951,-0.2157268533143295,0.37725080921219545,0.04797466842916298,,-0.282035373735293,Immunisation/UHC,0.37725080921219545,3
Timor-Leste,TLS,Double-high,Double-high,Double-high -> Double-high,-0.6330658464092239,-0.23823108247071234,-0.07728298603862083,,-0.4965981819538627,1.197864490754282,,,HIV/TB,1.197864490754282,1
Tonga,TON,Neither,Double-high,Neither -> Double-high,-0.3124141542993747,0.35157751171263874,-0.4080443512651862,0.4328623620909875,-0.8518577016912205,-0.14370979713144616,,-0.9145296109083765,WASH,0.4328623620909875,2
American Samoa,ASM,Neither,Excess-only,Neither -> Excess-only,1.504865836825379,0.4249662326699476,0.21789216864662508,1.7141281118799785,,0.2911008024984989,,,WASH,1.7141281118799785,5
Antigua and Barbuda,ATG,Neither,Excess-only,Neither -> Excess-only,0.29940880003885295,0.3020577182182864,0.31516765424586657,-0.1971854152033588,0.4914995057673367,0.5450157424914841,,1.883149676747378,Health resources,1.883149676747378,6
Azerbaijan,AZE,Double-high,Excess-only,Double-high -> Excess-only,-1.2560511456632348,0.7117050423291719,-0.07990228102987063,-1.6643490892311195,0.685199861257102,-0.1369618138596859,-0.5802766974653493,1.722571076754409,Health resources,1.722571076754409,3
Bahamas,BHS,Neither,Excess-only,Neither -> Excess-only,0.20557374590030442,-0.07626442422685453,0.13125681963091607,,0.9475572308243713,-1.316790620535868,,-0.010178409502735186,Immunisation/UHC,0.9475572308243713,3
Bahrain,BHR,Neither,Excess-only,Neither -> Excess-only,1.1170808131584076,-0.06955126483254714,0.17858241447935996,0.660219761488591,0.655906185106061,0.02393204720915243,,0.35322740847796824,Household energy/HAP,1.1170808131584076,6
Barbados,BRB,Neither,Excess-only,Neither -> Excess-only,0.4665534270921431,1.3930957578164267,-0.6146821982976634,-0.12047371156826998,0.0007194954173128931,0.8696442110378183,,0.5581821037701921,Ambient PM2.5,1.3930957578164267,5
Bermuda,BMU,Neither,Excess-only,Neither -> Excess-only,-0.4997754772948154,0.02887245675428185,-0.008785991116816994,0.010836210858958806,,-0.04760880605773532,,,Ambient PM2.5,0.02887245675428185,2
